study_id,year,title,doi,corpus_tier,evidence_status,commodity_system,region,model_family,learning_regime,primary_reliability_focus,validation_class,label_validity,calibration_uncertainty,interpretability_geology,reproducibility,quality_score,quality_band,generalization_claim_eligibility,case_study_relevance,source_url
CORE014,2026,Validation design and cross-cluster transferability in machine learning–based prospectivity mapping of magmatic Ni sulphide systems,10.1016/j.oregeorev.2026.107313,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Other ML/DL or workflow study,Supervised or hybrid,Spatial validation; Data scarcity/imbalance; Uncertainty/stability; Geological consistency/XAI,Strong spatial/cross-cluster,Absent/not demonstrated,Strong,Strong,Absent/not demonstrated,20,HIGH_SUPPORT,YES,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://www.sciencedirect.com/science/article/pii/S016913682600212X
CORE015,2026,Dual-relation heterogeneous graph approach with positive-unlabeled learning for mineral prospectivity mapping,10.1016/j.oregeorev.2026.107364,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Graph neural network,Semi-supervised / weak supervision,Label validity; Spatial validation; Data scarcity/imbalance; Uncertainty/stability; Geological consistency/XAI,Partial/spatially aware,Strong,Strong,Strong,Absent/not demonstrated,20,HIGH_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://www.sciencedirect.com/science/article/pii/S0169136826002635
CORE016,2023,"Mineral Prospectivity Mapping of Tungsten Polymetallic Deposits Using Machine Learning Algorithms and Comparison of Their Performance in the Gannan Region, China",10.1029/2022ea002596,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Generative model / GAN,Supervised or hybrid,Reproducibility,Random/within-area or not demonstrated,Absent/not demonstrated,Absent/not demonstrated,Partial,Strong,13,MODERATE_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022EA002596
CORE017,2026,Ensemble machine learning strategies for mineral prospectivity mapping under data scarcity,10.1038/s41598-026-40125-1,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Ensemble / boosting,Supervised ensemble,Data scarcity/imbalance; Uncertainty/stability,Random/within-area or not demonstrated,Absent/not demonstrated,Strong,Partial,Partial,18,MODERATE_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://www.nature.com/articles/s41598-026-40125-1
CORE018,2025,Transformer–GCN Fusion Framework for Mineral Prospectivity Mapping: A Geospatial Deep Learning Approach,10.3390/min15070711,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Transformer or Transformer hybrid,Supervised or hybrid,Data scarcity/imbalance,Random/within-area or not demonstrated,Absent/not demonstrated,Absent/not demonstrated,Partial,Partial,13,MODERATE_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://www.mdpi.com/2075-163X/15/7/711
CORE019,2025,Geoscientific Input Feature Selection for CNN-Driven Mineral Prospectivity Mapping,10.3390/min15121237,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,CNN or convolutional hybrid,Supervised or hybrid,Uncertainty/stability; Geological consistency/XAI,Random/within-area or not demonstrated,Absent/not demonstrated,Partial,Strong,Partial,14,MODERATE_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://www.mdpi.com/2075-163X/15/12/1237
CORE020,2026,Toward Robust Mineral Prospectivity Mapping: A Transformer-Based Global–Local Fusion Framework with Application to the Xiadian Gold Deposit,10.3390/min16030331,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Transformer or Transformer hybrid,Supervised or hybrid,Architecture/performance,Random/within-area or not demonstrated,Absent/not demonstrated,Absent/not demonstrated,Partial,Partial,11,LOW_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://doi.org/10.3390/min16030331
CORE021,2026,Uncertainty quantification of deep learning model for mineral prospectivity mapping,10.5194/egusphere-2026-1293,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Bayesian / uncertainty-aware DL,Bayesian / stochastic prediction,Uncertainty/stability; Reproducibility,Random/within-area or not demonstrated,Absent/not demonstrated,Strong,Partial,Strong,15,MODERATE_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://zenodo.org/records/20793560
CORE022,2026,DEEP-SEAM: an explainable semi-supervised deep learning framework for mineral prospectivity mapping,10.5194/gmd-19-2593-2026,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Semi-supervised / positive-unlabeled,Semi-supervised / weak supervision,Label validity; Data scarcity/imbalance; Geological consistency/XAI; Reproducibility,Random/within-area or not demonstrated,Strong,Absent/not demonstrated,Strong,Strong,18,MODERATE_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://gmd.copernicus.org/articles/19/2593/2026/
CORE023,2025,Recursive Annotation for Negative Labeling in Data-Driven Mineral Prospectivity Mapping,10.1007/s11053-025-10510-0,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Other ML/DL or workflow study,Supervised or hybrid,Label validity; Data scarcity/imbalance; Uncertainty/stability; Reproducibility,Random/within-area or not demonstrated,Strong,Strong,Partial,Strong,20,HIGH_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://link.springer.com/article/10.1007/s11053-025-10510-0
CORE024,2023,Prospectivity modelling of critical mineral deposits using a generative adversarial network with oversampling and positive-unlabelled bagging,10.1016/j.oregeorev.2023.105665,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Semi-supervised / positive-unlabeled,Semi-supervised / weak supervision,Label validity; Data scarcity/imbalance; Reproducibility,Random/within-area or not demonstrated,Strong,Absent/not demonstrated,Partial,Strong,17,MODERATE_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://www.sciencedirect.com/science/article/pii/S0169136823003815
CORE025,2024,Geologically-constrained GANomaly network for mineral prospectivity mapping through frequency domain training data,10.1038/s41598-024-56644-8,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Generative model / GAN,Unsupervised representation / anomaly learning,Geological consistency/XAI,Random/within-area or not demonstrated,Absent/not demonstrated,Absent/not demonstrated,Strong,Partial,14,MODERATE_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://www.nature.com/articles/s41598-024-56644-8
SS001,2026,Overcoming the isotropic bias in mineral prospectivity mapping: a direction-aware neural network approach for sandstone-hosted uranium,10.1016/j.oregeorev.2026.107369,RUN4_SENSITIVITY_ADDITION,OFFICIAL_OPEN_ARTICLE_METHOD_LEVEL_PROVISIONAL,Sandstone-hosted uranium,Study region not standardized in Run 1,Direction-aware graph-weighted neural network,Supervised deep learning with probabilistic soft labels,Consensus soft labels under sparse supervision; Nested spatially blocked cross-validation; six benchmark models,Strong spatial/cross-cluster,Partial,Partial,Strong,Partial,21,HIGH_SUPPORT_PROVISIONAL,PROVISIONAL_YES,Sensitivity evidence; copper/Iran/transfer/scarcity relevance assessed in Phase 2,https://www.sciencedirect.com/science/article/pii/S0169136826002684
SS002,2026,A causal-aware artificial intelligence framework for mineral prospectivity mapping,10.1016/j.gsf.2026.102248,RUN4_SENSITIVITY_ADDITION,OFFICIAL_OPEN_ABSTRACT_AND_ARTICLE_METADATA_PROVISIONAL,Cu-polymetallic mineralization,"Northern Sanjiang metallogenic belt, southwestern China",Causal-aware feature extractor with machine-learning classifiers,Supervised causal-aware machine learning,No dedicated label-scarcity intervention reported in accessible evidence; Within-region comparative case study; spatial-independence details require full audit,Random/within-area or not demonstrated,Absent/not demonstrated,Absent/not demonstrated,Strong,Partial,13,MODERATE_SUPPORT_PROVISIONAL,NO,Sensitivity evidence; copper/Iran/transfer/scarcity relevance assessed in Phase 2,https://www.sciencedirect.com/science/article/pii/S1674987126000022
SS003,2026,"Bridging the Scale Gap: Regional Refinement of National Mineral Prospectivity Models for Nunavut, Canada",10.1007/s11053-026-10699-8,RUN4_SENSITIVITY_ADDITION,FULL_OFFICIAL_OPEN_ARTICLE_REVIEWED_PROVISIONAL_SCORE,Graphite; magmatic Ni-Cu-Co-PGE; MVT Pb-Zn,"Nunavut, Canada",Regional fine-tuning of large-scale deep-ensemble MPM frameworks,Supervised transfer/fine-tuning and large ensemble,Regional annotation expansion; standardized commodity and deposit labels; Fixed test set and workflow ensembles; no spatial blocking in base workflow,Partial/spatially aware,Partial,Strong,Strong,Strong,22,HIGH_SUPPORT_PROVISIONAL,NO,Sensitivity evidence; copper/Iran/transfer/scarcity relevance assessed in Phase 2,https://link.springer.com/article/10.1007/s11053-026-10699-8
SS004,2026,"Targeting greenfield mineral prospectivity using scarce data-constrained AI framework and dynamic confusion matrix: A case study from Yulong district, China",10.1016/j.oregeorev.2026.107301,RUN4_SENSITIVITY_ADDITION,OFFICIAL_OPEN_ARTICLE_METHOD_LEVEL_PROVISIONAL,Porphyry copper,"Yulong district, China","CNN, deep forest, SVM, and random forest with dynamic threshold evaluation",Supervised learning under extreme scarcity,SMOTE augmentation and t-SNE synthetic-sample verification; Spatial cross-validation plus dynamic confusion-matrix threshold analysis,Strong spatial/cross-cluster,Partial,Partial,Strong,Partial,20,HIGH_SUPPORT_PROVISIONAL,PROVISIONAL_YES,Sensitivity evidence; copper/Iran/transfer/scarcity relevance assessed in Phase 2,https://www.sciencedirect.com/science/article/pii/S0169136826002003
SS005,2026,"WTCNN–Transformer: An unsupervised model for mineral prospectivity mapping based on wavelet transform, convolutional neural network, and transformer",10.1016/j.oregeorev.2026.107215,RUN4_SENSITIVITY_ADDITION,OFFICIAL_OPEN_ARTICLE_ABSTRACT_METHOD_EXTRACTION_PROVISIONAL,Chromite,"Tuoli County, Xinjiang, China","Wavelet-transform, CNN, and Transformer hybrid",Unsupervised deep learning,Avoids supervised positive-negative label dependence; Within-area comparison with baseline models,Random/within-area or not demonstrated,Absent/not demonstrated,Absent/not demonstrated,Partial,Partial,14,MODERATE_SUPPORT_PROVISIONAL,NO,Sensitivity evidence; copper/Iran/transfer/scarcity relevance assessed in Phase 2,https://www.sciencedirect.com/science/article/pii/S0169136826001149
SS006,2026,"Deep autoencoder-guided machine learning for prospectivity mapping of intrusion-related Cu-Au mineral systems in southwestern New Brunswick, Canada",10.1016/j.oregeorev.2026.107250,RUN4_SENSITIVITY_ADDITION,OFFICIAL_OPEN_ARTICLE_METHOD_LEVEL_PROVISIONAL,Intrusion-related copper-gold,"Southwestern New Brunswick, Canada",Deep autoencoder plus XGBoost/random forest and SHAP,Unsupervised representation learning plus supervised classification,Latent embedding and feature-selection scenarios; Multiple scenarios and 100 resampling iterations; spatial independence not established,Random/within-area or not demonstrated,Absent/not demonstrated,Strong,Strong,Partial,16,MODERATE_SUPPORT_PROVISIONAL,NO,Sensitivity evidence; copper/Iran/transfer/scarcity relevance assessed in Phase 2,https://www.sciencedirect.com/science/article/pii/S0169136826001496
SS007,2026,"Predictive modeling of mineral prospectivity by deep self-organizing map: Implications for copper exploration targeting in Saveh district, central Iran",10.1016/j.oregeorev.2026.107194,RUN4_SENSITIVITY_ADDITION,OPEN_FULL_TEXT_METHOD_LEVEL_PROVISIONAL,Copper and associated metal mineralization,"Saveh district, central Iran",Deep autoencoder plus self-organizing map,Unsupervised deep feature extraction and clustering,Unsupervised representation avoids training-label dependence; Prediction-area analysis and field petrographic/microprobe evidence,Random/within-area or not demonstrated,Absent/not demonstrated,Absent/not demonstrated,Strong,Partial,15,MODERATE_SUPPORT_PROVISIONAL,NO,Sensitivity evidence; copper/Iran/transfer/scarcity relevance assessed in Phase 2,https://www.sciencedirect.com/science/article/pii/S0169136826000934
